Age;3rd;5th;10th;25th;50th;75th;90th;95th;97th
24.5;80.26037;81.08868;82.36401;84.49471;86.86161;89.22805;91.35753;92.63177;93.45923
27.5;82.44846;83.27899;84.56534;86.73507;89.17549;91.64711;93.89827;95.25754;96.14512
30.5;84.51558;85.34694;86.64027;88.83745;91.33242;93.88496;96.23239;97.66027;98.59691
33.5;86.48678;87.3168;88.61244;90.82592;93.35847;95.97068;98.39218;99.87416;100.8501
36.5;88.37864;89.20473;90.49789;92.71756;95.27359;97.9287;100.4072;101.9324;102.9402
39.5;90.01766;90.88532;92.23779;94.54291;97.17191;99.87426;102.3709;103.8948;104.8967
42.5;91.59152;92.49999;93.91068;96.30009;99.00254;101.7556;104.2771;105.8061;106.8071
45.5;93.11271;94.06109;95.52888;98.00159;100.7783;103.5858;106.1387;107.6784;108.683
48.5;94.59361;95.5807;97.10407;99.65875;102.5105;105.3759;107.9665;109.522;110.5342
51.5;96.046;97.07013;98.64701;101.2817;104.2087;107.1354;109.7693;111.3454;112.369
54.5;97.48058;98.53958;100.1673;102.8792;105.8813;108.872;111.5543;113.1555;114.1937
57.5;98.90667;99.99791;101.6731;104.4588;107.535;110.5919;113.3273;114.9575;116.0134
60.5;100.3318;101.4523;103.1712;106.0265;109.1751;112.2998;115.0924;116.755;117.8314
63.5;101.7618;102.9082;104.6666;107.5868;110.8058;113.9992;116.8522;118.5505;119.6498
66.5;103.2;104.369;106.1627;109.1427;112.4296;115.6921;118.6084;120.345;121.4694
69.5;104.6479;105.8364;107.6611;110.696;114.0479;117.3794;120.3613;122.1384;123.2897
72.5;106.1048;107.3099;109.1619;112.2469;115.6609;119.0611;122.1101;123.9297;125.1095
75.5;107.5682;108.7873;110.6633;113.7942;117.2678;120.7361;123.8532;125.7168;126.9263
78.5;109.0335;110.2649;112.1623;115.336;118.8668;122.4024;125.5884;127.4969;128.7371
81.5;110.495;111.7375;113.6548;116.869;120.4554;124.0576;127.3128;129.2668;130.5381
84.5;111.9459;113.1991;115.1356;118.3893;122.0305;125.6987;129.023;131.0226;132.3253
87.5;113.3789;114.6431;116.5992;119.8927;123.5886;127.3225;130.7154;132.7605;134.0943
90.5;114.7867;116.0629;118.0398;121.3746;125.1259;128.9256;132.3865;134.4763;135.8409
93.5;116.1623;117.4521;119.4519;122.8305;126.6388;130.5044;134.0325;136.1662;137.5607
96.5;117.5;118.8053;120.8305;124.2562;128.1237;132.0559;135.6504;137.8267;139.2502
99.5;118.7949;120.1179;122.1716;125.6484;129.5777;133.5771;137.2371;139.4548;140.9062
102.5;120.0442;121.3872;123.4726;127.0044;130.9983;135.066;138.7905;141.0484;142.5263
105.5;121.2467;122.6119;124.7319;128.3228;132.384;136.5209;140.3093;142.6061;144.1096
108.5;122.4034;123.7928;125.9501;129.6035;133.7345;137.9414;141.793;144.1278;145.656
111.5;123.5175;124.9325;127.1291;130.8477;135.0504;139.3282;143.2428;145.6148;147.167
114.5;124.5943;126.0358;128.273;132.0585;136.3343;140.6835;144.661;147.0699;148.6459
117.5;125.6413;127.1096;129.3876;133.2407;137.5899;142.0111;146.0518;148.4979;150.0977
120.5;126.6678;128.1625;130.4809;134.4008;138.8234;143.3168;147.4214;149.9053;151.5294
123.5;127.6851;129.2051;131.5625;135.5477;140.0427;144.6085;148.7782;151.301;152.9504
126.5;128.7058;130.2496;132.6441;136.692;141.2582;145.8965;150.1329;152.696;154.3718
129.5;129.7436;131.3094;133.7386;137.8466;142.4824;147.1936;151.4982;154.1035;155.8072
132.5;130.8127;132.399;134.8608;139.0262;143.7304;148.5147;152.8894;155.5386;157.2715
135.5;131.9272;133.5329;136.026;140.2472;145.019;149.8769;154.323;157.0174;158.7806
138.5;133.1;134.7252;137.2496;141.5269;146.3665;151.2984;155.8164;158.5562;160.35
141.5;134.3423;135.9885;138.5461;142.882;147.7911;152.7969;157.3857;160.1697;161.993
144.5;135.6621;137.3326;139.928;144.3277;149.3088;154.3881;159.0439;161.8686;163.7185
147.5;137.064;138.7638;141.4034;145.8746;150.9313;156.0819;160.7981;163.6571;165.5285
150.5;138.5477;140.2831;142.9752;147.5269;152.6624;157.88;162.6462;165.5302;167.416
153.5;140.108;141.8859;144.6388;149.2795;154.4951;159.7725;164.5748;167.4723;169.3634
156.5;141.7345;143.5608;146.3813;151.1165;156.4099;161.7364;166.5581;169.4561;171.343
159.5;143.4118;145.29;148.1815;153.0113;158.3751;163.7363;168.5594;171.445;173.3186
162.5;145.1196;147.0498;150.0107;154.928;160.3493;165.7283;170.535;173.3965;175.249
165.5;146.8339;148.812;151.8348;156.8253;162.2865;167.665;172.4393;175.2677;177.0935
168.5;148.5284;150.5461;153.6181;158.6615;164.1418;169.5022;174.2313;177.0206;178.8165
171.5;150.1763;152.2221;155.3268;160.3988;165.8771;171.2039;175.879;178.6264;180.3913
174.5;151.7521;153.8127;156.9319;162.0078;167.4641;172.7455;177.3622;180.0676;181.8027
177.5;153.2342;155.2961;158.4118;163.4685;168.8867;174.1148;178.6727;181.3385;183.0463
180.5;154.6056;156.6566;159.7529;164.7713;170.1393;175.3105;179.8124;182.4429;184.127
183.5;155.8552;157.8853;160.9498;165.9154;171.2257;176.34;180.7912;183.3916;185.0562
186.5;156.9777;158.9798;162.0035;166.9072;172.1563;177.2163;181.6236;184.1997;185.8493
